text,conversation_id,author_id,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
RT @5SOS__Polska: #CompleteMess znajduje się na #15 miejscu na polskim ITunes! https://t.co/wN47w4z9Lo,1499369922216005632,1216061744981909504,1499369922216005632,2022-03-03T13:03:41.000Z,5,0,0,0
"RT @hemmowife0: Mysle ze rel kochani, nie zaprzeczycie
#5SecondsOfSummer #COMPLETEMESS https://t.co/RCRBCh2dtd",1499368839380967425,1428291626175193094,1499368839380967425,2022-03-03T12:59:22.000Z,13,0,0,0
"RT @5SOS__Polska: Jeśli ktoś chciałby sprzedać/kupić bilet na koncert 5SOS, w tym tweecie może wstawiać informacje‼️
#CompleteMess 
#5Secon…",1499368738830929928,1474734348020727816,1499368738830929928,2022-03-03T12:58:58.000Z,1,0,0,0
"Przy każdym słuchaniu #CompleteMess możemy użyć aplikacji Shazam, która zwiększa dostanie się utworu do stacji radiowych. 
 https://t.co/bOA1dJAAVp",1499368051589922819,1495337974556467201,1499368051589922819,2022-03-03T12:56:15.000Z,0,0,2,0
"RT @5SOS__Polska: 📲 Najważniejsze informacje z live'a po premierze #CompleteMess:
1. Ashton powiedział, że po powrocie zagrają więcej konce…",1499367260028346368,1048561086017032192,1499367260028346368,2022-03-03T12:53:06.000Z,67,0,0,0
"Jeśli ktoś chciałby sprzedać/kupić bilet na koncert 5SOS, w tym tweecie może wstawiać informacje‼️
#CompleteMess 
#5SecondsOfSummer",1499364043466944520,1495337974556467201,1499364043466944520,2022-03-03T12:40:19.000Z,1,0,5,0
"RT @hemmowife0: Mike: zaczyna spiewac
Fandom: *dies* 
#5SecondsOfSummer #COMPLETEMESS #sikajzsosiarami https://t.co/mvhfzNKZur",1499364001083445248,1154302174027034625,1499364001083445248,2022-03-03T12:40:09.000Z,29,0,0,0
"RT @olciklolcik: #COMPLETEMESS
Kumacie, ze sosy nareszcie maja dojebana reklame, ta piosenka bedzie leciec teraz doslownie WSZEDZIE",1499363772238118915,1154302174027034625,1499363772238118915,2022-03-03T12:39:14.000Z,11,0,0,0
"RT @ZbigniewKozlow: Wygląda na to, że po zawetowaniu #lexCzarnek będziemy musieli stworzyć coś w rodzaju obywatelskiej samoobrony, żeby nie…",1499367960724578315,4484127857,1499367960724578315,2022-03-03T12:55:53.000Z,39,0,0,0
"Choć jedna dobra wiadomość (Ok, druga to weto #lexCzarnek ) https://t.co/IlZvlYD02G",1499367675843297287,1006547543000535040,1499367675843297287,2022-03-03T12:54:45.000Z,0,0,0,0
"@michal_kolanko ""Nowa pedagogika społeczna"" czyli już w przedbiegach zapowiedź katastrofy w stylu #LexCzarnek.",1499366756401381379,1499170949924630530,1499367666284482564,2022-03-03T12:54:43.000Z,0,0,1,0
RT @salatkagyrosik: Kim jesteś i co zrobiłeś z Andrzejem Duda? #lexCzarnek https://t.co/iT4J6N8OEL,1499367604045103110,1451830823611682825,1499367604045103110,2022-03-03T12:54:28.000Z,163,0,0,0
"@RychoM @Tash_Witk @AndrzejDuda Sądzę, że zablokowanie #lexCzarnek jest wyłączeniem kolejnego pola konfliktu, które byłoby widowiskowo eksploatowane przez opozycję na użytek kolejnego, nieuchronnego uderzenia w nas przez UE.
UE musi - ale to musi nas zmarginalizować i użyje do tego każdego dostępnego pretekstu.",1499340031110139913,897504510712664064,1499367042222338052,2022-03-03T12:52:14.000Z,0,0,0,0
RT @KrzysztofBrejza: PAD wetuje centralizującą szkolnictwo (na modłę wschodniorządności) ustawę #LexCzarnek 👏,1499366202950438914,1452390537399578628,1499366202950438914,2022-03-03T12:48:54.000Z,34,0,0,0
"RT @zuzanna_dab: #Sejm @RyszardTerlecki o wecie do #lexCzarnek: Przyjąłem weto z przykrością. Myślę, że podobnie reaguje nasz elektorat. Ni…",1499365708559532038,3324605487,1499365708559532038,2022-03-03T12:46:56.000Z,19,0,0,0
