text,conversation_id,author_id,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
"RT @Boska_Polka: .@AndrzejDuda powiedział, że zawetował ustawę #LexCzarnek, która blokuje #LGBT dostęp do dzieci w szkołach bo:
""nie chce z…",1499365542733492224,1381727644740423680,1499365542733492224,2022-03-03T12:46:16.000Z,1,0,0,0
"RT @FalejMonika: Veto do #LexCzarnek !
Prezydent zrobił co musiał i powinien.",1499365378664943623,719690726641164288,1499365378664943623,2022-03-03T12:45:37.000Z,2,0,0,0
Na czym polega #lexCzarnek ?,1499365199521923074,1168028890784292864,1499365199521923074,2022-03-03T12:44:55.000Z,0,0,0,0
Patrzcie komu pomagacie ! #Ukriane #Przemyślu #StopPutinNOW https://t.co/jJoAEFpcpe,1499367865882927106,1497160087751831559,1499367865882927106,2022-03-03T12:55:30.000Z,0,0,0,0
"@gazeta_wyborcza
 kiedy ukaże się wywiad ze studentem z Kijowa Jackem Hugo-Baderem, zaatakowanym przez Podkarpackich Kibiców?

#Przemyślu https://t.co/kX8nTlSwJ0",1499342634418065408,1234075975501172736,1499342634418065408,2022-03-03T11:15:15.000Z,0,0,0,0
"RT @WTumanowicz: Hinduscy studenci z Ukrainy, którzy trafili do Polski, właśnie wracają do Indii. Czy w #Przemyślu zostali ich koledzy?

 h…",1499276954608013314,1497136437619220528,1499276954608013314,2022-03-03T06:54:15.000Z,42,0,0,0
‼️ Polacy? Ktoś coś? #Polacy #Przemyślu #Studenci #Ukraińcy #PolandFirstToHelp https://t.co/dLlHm7MvhE,1499273722162819072,988093061094879233,1499273722162819072,2022-03-03T06:41:25.000Z,0,0,0,0
"@Bob_Gedron 👁️ będzie tak jak we Francji🇫🇷 - gdzie ciapaci głosują- u nas 🇵🇱 będą Ukraińcy 🇺🇦 głosować - zgadnijcie na kogo 👁️@pisorgpl
#wojna #ukraina #rosja #lexCzarnek #Przemyślu",1499091307993747460,1277188930853634049,1499133121396191232,2022-03-02T21:22:43.000Z,0,2,5,0
... niestety to prawda xD #Polska #ukraina #wojna #rzad #przemyslu #afryki https://t.co/qL1vZDTEIA,1499121280796270600,1437760182235373570,1499121280796270600,2022-03-02T20:35:40.000Z,0,1,0,0
"👁️ będzie tak jak we Francji🇫🇷 - gdzie ciapaci głosują- u nas 🇵🇱 będą Ukraińcy 🇺🇦 głosować - zgadnijcie na kogo 👁️@pisorgpl
#wojna #ukraina #rosja #lexCzarnek #Przemyślu https://t.co/93cF3U5lV0",1499119995472785411,1277188930853634049,1499119995472785411,2022-03-02T20:30:33.000Z,0,2,6,0
RT @IchlernedieWelt: Sklep przy granicy w #Medyka to samo zaraz będzie w #Przemyśl @Rz_Policja zacznijcie coś robić! Proszę @A_Zapalowski @…,1499103042209300481,3317864375,1499103042209300481,2022-03-02T19:23:11.000Z,4,0,0,0
