conversation_id,id,created_at,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1499383479657807873,1499383479657807873,2022-03-03T13:57:33.000Z,RT @arturszalabawka: #Sejm Rozpoczynamy ! https://t.co/05ROIydRtH,1488971177913683973,6,0,0,0
1499383478667952130,1499383478667952130,2022-03-03T13:57:33.000Z,"RT @pisorgpl: Prezes #PiS, Wicepremier J. #Kaczyński w #Sejm: Ustawa jest rozległa, dlatego ma funkcję porządkującą stan prawny Sił Zbrojny…",1275771811427483648,15,0,0,0
1499383350598983687,1499383350598983687,2022-03-03T13:57:02.000Z,"RT @PremierRP: Wicepremier Jarosław Kaczyński w #Sejm: Główne założenia, z których wyszliśmy tworząc ustawę, to że Polska jest dzisiaj dużo…",1275771811427483648,10,0,0,0
1499383312988655618,1499383312988655618,2022-03-03T13:56:53.000Z,RT @BorowiakJoanna: Prezes #PiS Wiceprezes Rady Ministrów J. #Kaczyński w #Sejm: obowiązek obrony Ojczyzny i wierność Rzeczypospolitej są z…,1275771811427483648,9,0,0,0
1499371635589234691,1499371635589234691,2022-03-03T13:10:29.000Z,RT @c_grabarczyk: #Lotos Sytuacja wymaga by zatrzymać złe decyzje i  by część polskiego potencjału paliwowego nie przeszła w ręce sojusznik…,1224077656649617408,3,0,0,0
1499369172882673674,1499369172882673674,2022-03-03T13:00:42.000Z,#Lotos Sytuacja wymaga by zatrzymać złe decyzje i  by część polskiego potencjału paliwowego nie przeszła w ręce sojuszników Putina. https://t.co/9xKHw2OiSr,410104436,3,0,16,0
1499366327370330122,1499366327370330122,2022-03-03T12:49:23.000Z,"RT @SawomirOsiski: @DanielObajtek @donaldtusk Twierdzi Pan Panie prezesie, że powiązana z Rosją węgierska spółka #MOL nie przejmie 417 stac…",4501189937,3,0,0,0
1499350895343153154,1499350895343153154,2022-03-03T11:48:04.000Z,"Przypominam i pytam: co to kurwa jest pisowscy dranie?
#Ukraina #Rosja #Wegry #pis #Lotos
-
https://t.co/R2iU4obQaK",23335179,0,0,1,0
1499347203155972096,1499347203155972096,2022-03-03T11:33:24.000Z,RT @DawidBlog: Tak się zastanawiam. Obecnie jest duży szum odnośnie fuzji Lotosu z Orlen. Jakby wszyscy nagle zapomnieli kto chciał cały Lo…,3032356834,2,0,0,0
1499339710614884353,1499339710614884353,2022-03-03T11:03:38.000Z,RT @SawomirOsiski: @DanielObajtek @donaldtusk Stacje paliw nie są według Pana częscią #Lotos?,977791992154460160,1,0,0,0
1499383546661814280,1499383546661814280,2022-03-03T13:57:49.000Z,RT @lady_marysiaa: Ci ludzie nie mają żadnych uczuć #StopPutinNOW #StopWarInUkraine #Ukriane,74546943,14,0,0,0
1499383541863370755,1499383541863370755,2022-03-03T13:57:48.000Z,"RT @TV_Trwam: Rosjanie przejęli kontrolę nad Chersoniem❗

🔴 „Mamy ogromne trudności ze zbieraniem i chowaniem ciał ofiar, dostawami żywnośc…",793693663,8,0,0,0
1499383495646449681,1499383495646449681,2022-03-03T13:57:37.000Z,RT @lvdybook: PRZEGENIALNA INICJATYWA!! #Ukraine #StopPutinNOW #wojna #PrayingForUkraine https://t.co/uUfESA3CG2,1249373010806571011,1,0,0,0
1499383422703316995,1499383422703316995,2022-03-03T13:57:19.000Z,"RT @Dagacaign: Rosja może użyć zbrodniczej prowokacji poprzez atak rakietowy na własne miasta i miasteczka, żeby oskarżyć o to Ukrainę ‼️ 💙…",1048854133,7,0,0,0
1499383419817582592,1499383419817582592,2022-03-03T13:57:19.000Z,RT @PiotrSadurski: Panie @MorawieckiM @pis ‼️ Proszę o komentarz do słów #Orban.a ⤵️ #wojnaukraina #RussiaUkraineConflict #StopPutinNOW htt…,1204800777610563584,1,0,0,0
1499383387232083968,1499383387232083968,2022-03-03T13:57:11.000Z,"RT @YourPolandAnon: Ukraińcy sprzedają rosyjskie czołgi na Ebay'u
#StopPutinNOW #Ukraine #Tanks #FckPutin
Źródło:@YourAnonNews https://t.co…",1497936318172741635,87,0,0,0
1499383036621869061,1499383036621869061,2022-03-03T13:55:47.000Z,"Dziś punktualnie o godzinie 12:00 z wieży mariackiej w @krakow_pl wybrzmiał Hymn Ukrainy.
Kolejny piękny gest solidarności z 🇺🇦🇺🇦 
#SlavaUkraini #StopPutinNOW #UkraineRussiaWar #Europe",1244770342201106433,0,0,0,0
