author_id,id,text,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
892004596922671105,1500081744065830920,"W szeregach Sił Zbrojnych Ukrainy jest już ponad 200 Białorusinów, którzy chcą uchronić Ukrainę przed rosyjską inwazją, kolejnych 300 ochotników z Białorusi jest teraz w Polsce.
#StandWithUkraine️ https://t.co/Zd86SXU2Se",1500081744065830920,2022-03-05T12:12:12.000Z,0,0,2,0
1427332215235563525,1500081590612996100,"Dalszy ciąg przesłuchania pilota su-34, strąconego pod Czernichowem z bombami FAB-500 na pokładzie. W czasie przesłuchania dzwonił jego dowódca (!). #su34 #су34 #Украина #Ukraine #StandWithUkraine️ #putin #NATOmustbeinUkraine #россияСмотри #путин https://t.co/Z3QVzXw9WV",1500081590612996100,2022-03-05T12:11:36.000Z,0,0,0,0
423766786,1500081471905845248,"RT @trzaskowski_: Pomagamy uchodźcom z Ukrainy. W @warszawa utworzyliśmy 22 miejsca pobytowe. Tu, w punkcie przy ul. Wołoskiej, jedna z kob…",1500081471905845248,2022-03-05T12:11:07.000Z,14,0,0,0
1230558482278973451,1500081429207789574,"https://t.co/T8mZx0cGqf - z tego co widzę to kilka godzin temu Coca-Cola - wraz z Danone, jak się okazało - wycofały się z 🇷🇺 Rosji. Presja ma zatem sens, ale niesmak pozostał. #PresjaMaSens #StandWithUkraine️ #SanctionRussiaNow https://t.co/3ZI2nCYjw5",1500081429207789574,2022-03-05T12:10:57.000Z,0,0,0,0
952306023968247808,1500081141654728712,"RT @JaninaOchojska: Powtórzę to, co napisałam chwilę wcześniej. Pomoc, którą tak się chwali @MorawieckiM z rządem 
@pisorgpl i ministrami,…",1500081141654728712,2022-03-05T12:09:48.000Z,24,0,0,0
785448189377777664,1500080979842641922,RT @rzecznikUMWM: ❗️🇺🇦 W nocy drugi pociąg humanitarny organizowany przez samorząd woj.  #Mazowsze dotarł do Warszawy. Na pokładzie było 55…,1500080979842641922,2022-03-05T12:09:10.000Z,6,0,0,0
1312782571143680002,1500080949647843334,"RT @PL2050Maz: Ekipy z Kozienic i Radomia wsparły inicjatywę Fundacji Bez Mamy i Taty, ktora przeznacza nowo otwarty dom w Jaziewiu na Podl…",1500080949647843334,2022-03-05T12:09:03.000Z,31,0,0,0
1480166182724550659,1500080782974636039,"Marzec piękny miesiąc 😛

#StandWithUkraine️ #Ukraina #Ukrainian #Russian #PutinWarCrimes https://t.co/oEyQBmPydI",1500080782974636039,2022-03-05T12:08:23.000Z,0,0,0,0
709087760217477120,1500080772249755650,"Na ratunek zabytkom Lwowa! 🇺🇦🧯Zbiórka gaśnic, kocy gaśniczych i wełny mineralnej organizowana jest tylko dziś 👇🏻 #Lodz #Łódź #StandWithUkraine️ 

https://t.co/z1XfXZanLX",1500080772249755650,2022-03-05T12:08:20.000Z,0,0,1,0
1020918945036029952,1500080573053915138,"RT @LKS_Lodz: Przed meczem uczciliśmy minutą ciszy pamięć o zmarłych – kibica Marcina „Siwego” Piestrzewskiego, fotoreportera Włodzimierza…",1500080573053915138,2022-03-05T12:07:33.000Z,2,0,0,0
