author_id,id,text,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
767798248325120000,1499470885861957636,"RT @Katarzy29311311: Peter kibicujący siostrze&gt;&gt;&gt;&gt;&gt;&gt;
 (oglądał MŚJ na TVP Sport🤣)
Takich dwóch jak ich Czworo to nigdzie nie ma! #skijumpin…",1499470885861957636,2022-03-03T19:44:52.000Z,11,0,0,0
904574562272247808,1499470350568112129,RT @Skijumpingpl: Stefan Kraft objął prowadzenie w turnieju #RawAir! #Lillehammer #skijumpingfamily https://t.co/ADfhe32Px5,1499470350568112129,2022-03-03T19:42:45.000Z,22,0,0,0
1212709736061136896,1499470332931063816,"RT @O_Lenart_: Nika Prevc 🇸🇮 ze złotem 🥇 MŚ Juniorów, a to oznacza, że na zdjęciu widzimy 4 medalistów MŚ Juniorów i Trzy🥇, dwa 🥈 i jeden 🥉…",1499470332931063816,2022-03-03T19:42:40.000Z,38,0,0,0
1497641896323207169,1499471512277078016,"RT @SviatoslavTym: Na filmiku ostrzelane ruskimi bloki mieszkaniowe w Czernichowie, zginęło 22 osoby… - info generalnego sztabu Ukrainy 🤯🤬…",1499471512277078016,2022-03-03T19:47:22.000Z,3,0,0,0
1460910407690985474,1499471465909043201,"RT @MaciejLazor: Tak dla Ukrainy w UE‼️
Nie dla wojny‼️
***** Putina‼️
To było słychać dziś wieczorem w #Krakow.
Łzy Ukraińców i podziękowa…",1499471465909043201,2022-03-03T19:47:10.000Z,13,0,0,0
1497641896323207169,1499471343733157896,"RT @Robert_R2212: 1 000 000 000 $ za łeb kremlowskiego szczura. Tyle zagwarantował jeden z rosyjskich biznesmenów.
.@rusemb_pl  .@KremlinRu…",1499471343733157896,2022-03-03T19:46:41.000Z,8,0,0,0
3536231056,1499471256663597056,"Chce wrócić do czasów 2020 gdzie szukałam na tl informacji ile zachorowalo na covida a nie zdania ""kijów przetrwał kolejną noc"" #wojna #StopPutinNOW #StopWar",1499471256663597056,2022-03-03T19:46:21.000Z,0,0,2,0
1239097718355775488,1499470905038282759,"RT @YourPolandAnon: #Anonymous zleakowało książkę telefoniczną prokuratury wojskowej południowego okręgu 
wojskowego Rosji
Link do pobrania…",1499470905038282759,2022-03-03T19:44:57.000Z,46,0,0,0
611842202,1499471544975773704,"RT @FijoKonrad: Sound of silence... 

#StandWithUkraine️ #SolidarnizUkraina #Rzeszow 
Realizacja: Adam Lampart/UM Rzeszowa https://t.co/Dg1…",1499471544975773704,2022-03-03T19:47:29.000Z,15,0,0,0
1495134509725065219,1499471488898015238,"RT @DOrpych: Królowa Elżbieta #StandWithUkraine️  w jej niepowtarzalnym, eleganckim stylu.  
💛💙 https://t.co/d8jCB5ZNIe",1499471488898015238,2022-03-03T19:47:16.000Z,1,0,0,0
825095381918834688,1499471382333333504,"RT @trzaskowski_: Decyzją miejskich radnych, w związku z rosyjską agresję na Ukrainę, @warszawa wypowiedziała umowy o współpracy z Moskwą,…",1499471382333333504,2022-03-03T19:46:51.000Z,135,0,0,0
819756302389886977,1499471372451524608,"RT @elzbietawitek: Pomimo bestialskich ataków ze strony Federacji Rosyjskiej na Ukrainę, Deputowani Rady Najwyższej zebrali się dziś w gmac…",1499471372451524608,2022-03-03T19:46:48.000Z,99,0,0,0
813051728715202561,1499471360602644488,"RT @RadekZKraka: Teatr Stary w Krakowie. Przed chwilą:)
#StandWithUkraine️ https://t.co/0FNNdXrQm1",1499471360602644488,2022-03-03T19:46:45.000Z,3,0,0,0
2563921008,1499471135079112705,Wyzdrowiała z COVIDa?? 😱 #WOJNA #WAR #WARINUKRAINE #StandWithUkraine️ #IIIWojnaŚwiatowa #WorldWar3 #WorldWarIII #WWIII https://t.co/r55CLBTQVP,1499471135079112705,2022-03-03T19:45:52.000Z,0,0,2,0
1194708412178845696,1499471146357604352,"Do Polski przyjechało tysiące studentów naukowców i turystów... Dobre dwie pierwsze minuty haha XD. #media #polsat #Ukraina #Polska #studenci #wojna #socjale #imigranci #wojna #PiS #kaczynski #przemyślu #UkraineInvasion 

https://t.co/LZik9q0AyC",1499471146357604352,2022-03-03T19:45:54.000Z,0,0,0,0
1498783801488691219,1499469682474160130,"Mam taką propozycję, by narodowcy przestali nazywać swoje „patrole” w #Przemyślu i okolicach „grupami wolontariuszy”.
Hipoteza: gdyby takie „grupy wolontariuszy” z innych państw  „dbały o bezpieczeństwo” wobec potencjalnych uchodźców z Polski jaka byłaby wtedy retoryka?",1499469682474160130,2022-03-03T19:40:05.000Z,0,0,0,0
1106024738810486786,1499456659349020692,"Morawiecki jak ""Merkel Herzllich !"" willkommen załatwił globalistom NWO otwarcie granicy bez odpowiedniej kontroli ! Aresztować Morawieckiego !
#Polska #Przemyślu #granica #PatroleObywatelskie https://t.co/pZKdHOghRm",1499456659349020692,2022-03-03T18:48:20.000Z,0,0,2,0
1106024738810486786,1499435717290000388,#sondaz - czy DWA MILIONY LUDZI wystarczy ? #granica #Przemyślu #Przemyśl #PatroleObywatelskie #wojnanaukrainie #Medyka https://t.co/fwjpRa8t1E,1499435717290000388,2022-03-03T17:25:07.000Z,0,0,0,0
1113097092824752130,1499417842424418310,"Współczuje Ukrainie, ciekawe kiedy przyjdzie czas na Polskę #Przemyślu #wojna #WojnaWUkrainie #wojna",1499417842424418310,2022-03-03T16:14:06.000Z,0,2,1,0
1149354565,1499406835379580929,Czy napad ma Ukraińców w #Przemyślu to prawda czy fake?,1499406835379580929,2022-03-03T15:30:21.000Z,0,0,0,0
1347812275407757312,1499392654265569284,Czy @tvn24 może przestać nadawać 24h na dobę tych wiadomości z Ukrainy i pokazać co się dzieje w naszym kraju na wschodniej granicy. #Ukraińcy #Przemyślu #przemyśl #uchodźcy,1499392654265569284,2022-03-03T14:34:00.000Z,0,0,1,0
1497160087751831559,1499367865882927106,Patrzcie komu pomagacie ! #Ukriane #Przemyślu #StopPutinNOW https://t.co/jJoAEFpcpe,1499367865882927106,2022-03-03T12:55:30.000Z,0,0,0,0
1234075975501172736,1499342634418065408,"@gazeta_wyborcza
 kiedy ukaże się wywiad ze studentem z Kijowa Jackem Hugo-Baderem, zaatakowanym przez Podkarpackich Kibiców?

#Przemyślu https://t.co/kX8nTlSwJ0",1499342634418065408,2022-03-03T11:15:15.000Z,0,0,0,0
1497136437619220528,1499276954608013314,"RT @WTumanowicz: Hinduscy studenci z Ukrainy, którzy trafili do Polski, właśnie wracają do Indii. Czy w #Przemyślu zostali ich koledzy?

 h…",1499276954608013314,2022-03-03T06:54:15.000Z,42,0,0,0
1283660546496225286,1499431811809792007,RT @c_grabarczyk: #Lotos Sytuacja wymaga by zatrzymać złe decyzje i  by część polskiego potencjału paliwowego nie przeszła w ręce sojusznik…,1499431811809792007,2022-03-03T17:09:36.000Z,5,0,0,0
1379747289934274560,1499427531665121283,Stop dla sprzedaży Rafinerii i Lotosu!!! #lotos https://t.co/3jjuJqgUbu,1499427531665121283,2022-03-03T16:52:36.000Z,0,0,0,0
929589211,1499390340020768771,RT @GrzegorzCydejko: Węgierski rząd nawet nie przepuści tranzytem broni dla broniących się Ukraińców. Saudyjski dwór odmówił amerykańskim a…,1499390340020768771,2022-03-03T14:24:49.000Z,274,0,0,0
410104436,1499369172882673674,#Lotos Sytuacja wymaga by zatrzymać złe decyzje i  by część polskiego potencjału paliwowego nie przeszła w ręce sojuszników Putina. https://t.co/9xKHw2OiSr,1499369172882673674,2022-03-03T13:00:42.000Z,5,0,20,0
4501189937,1499366327370330122,"RT @SawomirOsiski: @DanielObajtek @donaldtusk Twierdzi Pan Panie prezesie, że powiązana z Rosją węgierska spółka #MOL nie przejmie 417 stac…",1499366327370330122,2022-03-03T12:49:23.000Z,4,0,0,0
23335179,1499350895343153154,"Przypominam i pytam: co to kurwa jest pisowscy dranie?
#Ukraina #Rosja #Wegry #pis #Lotos
-
https://t.co/R2iU4obQaK",1499350895343153154,2022-03-03T11:48:04.000Z,0,0,1,0
