created_at,conversation_id,text,author_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
2022-02-13T09:38:52.000Z,1492648610881843203,@krzysztofbosak A jeśli ktoś głosi takie dyrdymały jak ty to powinien zostać zamknięty w takim specjalnym szpitalu,298978066,1492795400356511744,0,0,0,0
2022-02-13T09:38:49.000Z,1492648610881843203,@Jakub465300001 @RobertPiech @shvzette @krzysztofbosak Mordo masz może ochotę na jakąś krucjatę?,841369700433088514,1492795387165487107,0,0,0,0
2022-02-13T09:38:31.000Z,1492648610881843203,@krzysztofbosak Jeśli ktoś wierzy w te wsyztskie bajki o jezusku i reszcie pokemonów i w jakikolwiek sposób wspiera kościół jest po prostu nieducoznym zjebem,1325324941949079552,1492795310367723520,0,0,0,0
2022-02-13T09:35:58.000Z,1492794668588875776,"RT @Polityka_wSieci: Nowi fani FB ost 7dni
1 @donaldtusk +1,682
2 @SlawomirMentzen +1,016
3 @GrzegorzBraun_ +595
4 @MorawieckiM +364
5 @Kos…",926373334027259904,1492794668588875776,1,0,0,0
2022-02-13T09:34:16.000Z,1492648610881843203,@MrKrink64298639 @krzysztofbosak współczuj sobie,43391007,1492794240149168133,0,0,0,0
2022-02-13T09:34:08.000Z,1492648610881843203,"@krzysztofbosak Popatrz na to jak, patrzy kościół - od strony biznesowej. Nie ma wiernych, nie ma kasy, nie ma chętnych na kapłanów. Święta inkwizycja już nie przejdzie.",4821613240,1492794205827129345,0,0,0,0
2022-02-13T09:33:57.000Z,1492794161644425218,"Nowi fani FB ost 7dni
1 @donaldtusk +1,682
2 @SlawomirMentzen +1,016
3 @GrzegorzBraun_ +595
4 @MorawieckiM +364
5 @KosiniakKamysz +18
6 @AndrzejDuda +7
7 @wlodekczarzasty +5
8 @ZiobroPL -3
9 @ZandbergRAZEM -16
10 @krzysztofbosak -79
11 @RobertBiedron -266
12 @szymon_holownia -678 https://t.co/tSufyZ6Dg8",3402670365,1492794161644425218,1,0,6,0
2022-02-13T09:33:37.000Z,1492648610881843203,@krzysztofbosak @KONFEDERACJA_ A tutaj jak będziesz bronił czarnego raka ? https://t.co/bx532419d7,541245714,1492794077968011264,0,0,0,0
2022-02-13T09:33:28.000Z,1492648610881843203,@krzysztofbosak https://t.co/w6TpojJiQW,1060225671086137344,1492794040366022661,0,0,0,0
2022-02-13T09:33:14.000Z,1492648610881843203,@shvzette @krzysztofbosak Wiara to nie sklep z którego sobie bierzemy co nam pasuje. Właśnie przez to że zamienia się w taki sklep upada.,2527786159,1492793981016711176,0,0,0,0
2022-02-13T09:33:02.000Z,1492793929225416704,"Doskonała, merytoryczna wypowiedź p. @krzysztofbosak w @PolsatNewsPL u Rymanowskiego na temat tzw. Porozumienia Mińskiego i o tym, co - tak naprawdę - robią Francja i Niemcy.
Dziękuję @krzysztofbosak , pozdrawiam!",928633353422671872,1492793929225416704,0,0,0,0
2022-02-13T09:31:53.000Z,1492648610881843203,"@krzysztofbosak Prorocze slowa !
https://t.co/LKOZ5bSsFN",1060225671086137344,1492793641928392705,0,0,0,0
2022-02-13T09:31:20.000Z,1492783279212220421,"@Mariusz29097073 @krzysztofbosak @PolsatNewsPL @KONFEDERACJA_ Ojoj. Jaki kwik, że redaktor nie śpiewa z klucza ""totalnej opozycji"" lub tuby propagandowej rządowej.",1127836308754305024,1492793504753504262,0,0,0,0
2022-02-13T09:30:43.000Z,1492648610881843203,"@krzysztofbosak Kosciol ? Jaki kosciol ? To jest tylko zwyczajna organizacja ,ktora od wiekow zerowala na ludzkiej glupocie. https://t.co/BHCyGr9Kg2",1060225671086137344,1492793349031567363,0,0,1,0
2022-02-13T09:29:05.000Z,1492792937020801027,RT @WolnoscO: Poseł @krzysztofbosak na temat amerykańskiej polityki informacyjnej na Ukrainie https://t.co/6QUpBtspCG,1163758448036782082,1492792937020801027,9,0,0,0
2022-02-13T09:29:01.000Z,1492648610881843203,"@krzysztofbosak Tysiące nazistowskich zbrodniarzy uciekło po II wojnie światowej przede wszystkim do Ameryki Południowej przez tzw. „linię szczurów”. Pomagał im Watykan. 
https://t.co/EGwihtScoS",1060225671086137344,1492792920298110981,0,0,0,0
2022-02-13T09:28:42.000Z,1492635152257847297,@krzysztofbosak @MF_GOV_PL @SlawomirMentzen @MorawieckiM Skoro jest tak źle z ładem to chyba dla was dobrze? Wie Pan czym sie różni napisanie i wdrożenie reformy od jej krytyki i wytknięcia paru oczywistych  błędów  już po jej wprowadzeniu? Mnie ciekawi czy były konsultacje z urzędnikami KAS przed wprowadzeniem reformy ...,916770727466078209,1492792840337960963,0,0,0,0
2022-02-13T09:28:36.000Z,1492648610881843203,"@krzysztofbosak Kretynie udający intelektualistę. Wiesz co oznacza ""progresja""? Nawet w tym idiotycznym kontekście, w którym użyłeś tego słowa, zrobiłeś to źle. Ale czego mozna wymagać od ledwo licealisty.",1333063006754902021,1492792816908611591,0,0,1,0
2022-02-13T09:39:48.000Z,1492426208436490240,@tom_wiejski @RobertWinnicki Oczywiście tylko tutaj nie występuje ta sytuacja. Ja twierdzę że teraz to już mleko jest rozlane. Tego funduszu nie należało przyjmować. Proszę zobaczyć źródła finansowania oraz kto i na jakich zasadach będzie beneficjentem.,1307418477364416512,1492795631643070466,0,0,0,0
2022-02-13T09:39:41.000Z,1492426208436490240,@RobertWinnicki @donaldtuskEPP Ty kurwa siebie słyszysz? Kto niszczy Polski przemysł? 😂 Nie zauważyłeś kto rządzi od 7 lat??,2705464084,1492795604170379265,0,0,0,0
2022-02-13T09:37:23.000Z,1492795025276735490,"RT @RobertWinnicki: Tusk z paletami euro nie powie wam, że to wszystko dług, który w naszym imieniu Bruksela zaciąga, który będziemy musiel…",810573037871525888,1492795025276735490,255,0,0,0
2022-02-13T09:30:52.000Z,1492426208436490240,@HanterPoen @RobertWinnicki @donaldtuskEPP Niech jest nawet chińczykiem..on potrafi..a wy pisowskie plemienie na emigrację z Polski się szykujcie..,1433509113833603081,1492793383416442883,0,0,0,0
