id,created_at,conversation_id,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1499467151639519240,2022-03-03T19:30:02.000Z,1499467151639519240,"JESTEŚMY Z WAMI !!!
🇵🇱🇺🇦❤️
#StopPutinNOW #StopWar #Anonymous #anonfamily #ukraine #OpRussia #FreeUkraine 

@LiteMods @PucksReturn @_barbby @Anonymous_Link @YourAnonNews @PolandAnonNews @YourPolandAnon @YourAnonTV https://t.co/rvYUmLXZbV",1498762026964897798,0,0,0,0
1499467083381460994,2022-03-03T19:29:46.000Z,1499467083381460994,"Matki modlące się za swoich synów walczących w czyjejś wojnie zostały aresztowane w cerkwi. Dla Putina i Łukaszenki nie ma żadnych świętości. Ni wiary, ni życia, ni matek. 

#StopPutinNOW 🇺🇦✊ https://t.co/CSMsfBS6oO",1394360892,0,0,0,0
1499467075324108806,2022-03-03T19:29:44.000Z,1499467075324108806,"RT @YourPolandAnon: Ukraińcy sprzedają rosyjskie czołgi na Ebay'u
#StopPutinNOW #Ukraine #Tanks #FckPutin
Źródło:@YourAnonNews https://t.co…",769620878330134533,100,0,0,0
1499466605104934912,2022-03-03T19:27:52.000Z,1499466605104934912,"RT @YourPolandAnon: zgłaszajcie @Rogozin 
@verified nie sądzę, żeby ktoś taki zaslugiwal na weryfikację i  w ogóle zeby miał konto na Twitt…",2933271784,8,0,0,0
1499466182763634691,2022-03-03T19:26:11.000Z,1499466182763634691,W Przemyślu #StopPutinNOW #UkraineRussianWar #skijumpingfamily #StopWar #Russia #UkraineWar #wojna. https://t.co/TCaghvEK52,1419263634295906306,0,0,0,0
1499466067927871498,2022-03-03T19:25:43.000Z,1499466067927871498,"RT @imxdejw: Niepełnosprawni Ukraińcy przygotowują koktajle Molotova &lt;3 
#ukrainian #ukraina #poland #wojna #war #stopputinnow https://t.co…",3263321302,22,0,0,0
1499465700951343112,2022-03-03T19:24:16.000Z,1499465700951343112,"Dziś dzień pakowania i pierwszego transportu darów dla mieszkańców #Ukraina 🇺🇦. Gmina Żórawina zjednoczona pod przewodnictwem proboszcza, daje przykład, że wspólnie można wszystko, samemu- niewiele. #UkraineRussiaWar #UkraineWar #StopPutinNOW #StopRussianAggression https://t.co/X485C5nPPM",270460282,0,0,0,0
1499465582034489351,2022-03-03T19:23:48.000Z,1499465582034489351,"RT @LUKASZKIJEK: Szczyt głupoty!
#Putin zafundował #Rosji wojnę, recesję i inflację. 
Autodestrukcja w pogoni za ""narkomanami"" i ""nazistami…",322008718,3,0,0,0
1499467663449407496,2022-03-03T19:32:04.000Z,1499467663449407496,Dzisiaj na zbiórce! #StandWithUkraine️ #SlavaUkraini #UkraineWar #HelpUkraine #PomocDlaUkrainy #PolandFirstToHelp https://t.co/EyMTrKaAzM,330379874,0,0,0,0
1499467627877519363,2022-03-03T19:31:55.000Z,1499467627877519363,RT @JakubChe: Pierwszy dzień Szczytu Regionów i Miast w Marsylii zdominowały tematy związane z wojną w Ukrainie. Przed ratuszem @marseille…,1259216973063499776,5,0,0,0
1499467578212864009,2022-03-03T19:31:44.000Z,1499467578212864009,"RT @elzbietawitek: Pomimo bestialskich ataków ze strony Federacji Rosyjskiej na Ukrainę, Deputowani Rady Najwyższej zebrali się dziś w gmac…",475218282,96,0,0,0
1499467384373063683,2022-03-03T19:30:57.000Z,1499467384373063683,"RT @trzaskowski_: Decyzją miejskich radnych, w związku z rosyjską agresję na Ukrainę, @warszawa wypowiedziała umowy o współpracy z Moskwą,…",811678514705469441,127,0,0,0
1499467288722001927,2022-03-03T19:30:35.000Z,1499467288722001927,RT @broke3nsea: Udzielam się jako wolontariuszka w punkcie pomocy dla ukrainy. Zbieramy produkty wysyłane na granice oraz oddawane ludziom…,1274356498286641155,12,0,0,0
1499467168672620546,2022-03-03T19:30:06.000Z,1499467168672620546,Stare Miasto we Lwowie to jeden z siedmiu obiektów w Ukrainie znajdujących się na Liście Światowego Dziedzictwa UNESCO #Lviv #UNESCO #StandWithUkraine️ https://t.co/orYEGzh2En,984417918,0,0,0,0
1499467145595564040,2022-03-03T19:30:00.000Z,1499467145595564040,"CDA Karina Węgrzynowska uczestniczy w V Międzynarodowej Konferencji ""Kobiety w Dyplomacji"".

Podczas wypowiedzi inaugurującej Konferencję wiceminister @AMorenoBau nie zabrakło odniesień do sytuacji kobiet na 🇺🇦i tych które musiały uciekać przed wojną.

#StandWithUkraine️ https://t.co/Yjyss0qzNf https://t.co/UnWIERiFpa",525400235,0,0,0,0
1499456659349020692,2022-03-03T18:48:20.000Z,1499456659349020692,"Morawiecki jak ""Merkel Herzllich !"" willkommen załatwił globalistom NWO otwarcie granicy bez odpowiedniej kontroli ! Aresztować Morawieckiego !
#Polska #Przemyślu #granica #PatroleObywatelskie https://t.co/pZKdHOghRm",1106024738810486786,0,0,2,0
1499435717290000388,2022-03-03T17:25:07.000Z,1499435717290000388,#sondaz - czy DWA MILIONY LUDZI wystarczy ? #granica #Przemyślu #Przemyśl #PatroleObywatelskie #wojnanaukrainie #Medyka https://t.co/fwjpRa8t1E,1106024738810486786,0,0,0,0
1499417842424418310,2022-03-03T16:14:06.000Z,1499417842424418310,"Współczuje Ukrainie, ciekawe kiedy przyjdzie czas na Polskę #Przemyślu #wojna #WojnaWUkrainie #wojna",1113097092824752130,0,2,1,0
1499406835379580929,2022-03-03T15:30:21.000Z,1499406835379580929,Czy napad ma Ukraińców w #Przemyślu to prawda czy fake?,1149354565,0,0,0,0
1499392654265569284,2022-03-03T14:34:00.000Z,1499392654265569284,Czy @tvn24 może przestać nadawać 24h na dobę tych wiadomości z Ukrainy i pokazać co się dzieje w naszym kraju na wschodniej granicy. #Ukraińcy #Przemyślu #przemyśl #uchodźcy,1347812275407757312,0,0,1,0
1499367865882927106,2022-03-03T12:55:30.000Z,1499367865882927106,Patrzcie komu pomagacie ! #Ukriane #Przemyślu #StopPutinNOW https://t.co/jJoAEFpcpe,1497160087751831559,0,0,0,0
1499342634418065408,2022-03-03T11:15:15.000Z,1499342634418065408,"@gazeta_wyborcza
 kiedy ukaże się wywiad ze studentem z Kijowa Jackem Hugo-Baderem, zaatakowanym przez Podkarpackich Kibiców?

#Przemyślu https://t.co/kX8nTlSwJ0",1234075975501172736,0,0,0,0
1499276954608013314,2022-03-03T06:54:15.000Z,1499276954608013314,"RT @WTumanowicz: Hinduscy studenci z Ukrainy, którzy trafili do Polski, właśnie wracają do Indii. Czy w #Przemyślu zostali ich koledzy?

 h…",1497136437619220528,42,0,0,0
1499273722162819072,2022-03-03T06:41:25.000Z,1499273722162819072,‼️ Polacy? Ktoś coś? #Polacy #Przemyślu #Studenci #Ukraińcy #PolandFirstToHelp https://t.co/dLlHm7MvhE,988093061094879233,0,0,0,0
1499431811809792007,2022-03-03T17:09:36.000Z,1499431811809792007,RT @c_grabarczyk: #Lotos Sytuacja wymaga by zatrzymać złe decyzje i  by część polskiego potencjału paliwowego nie przeszła w ręce sojusznik…,1283660546496225286,5,0,0,0
1499427531665121283,2022-03-03T16:52:36.000Z,1499427531665121283,Stop dla sprzedaży Rafinerii i Lotosu!!! #lotos https://t.co/3jjuJqgUbu,1379747289934274560,0,0,0,0
1499390340020768771,2022-03-03T14:24:49.000Z,1499390340020768771,RT @GrzegorzCydejko: Węgierski rząd nawet nie przepuści tranzytem broni dla broniących się Ukraińców. Saudyjski dwór odmówił amerykańskim a…,929589211,274,0,0,0
1499369172882673674,2022-03-03T13:00:42.000Z,1499369172882673674,#Lotos Sytuacja wymaga by zatrzymać złe decyzje i  by część polskiego potencjału paliwowego nie przeszła w ręce sojuszników Putina. https://t.co/9xKHw2OiSr,410104436,5,0,20,0
1499366327370330122,2022-03-03T12:49:23.000Z,1499366327370330122,"RT @SawomirOsiski: @DanielObajtek @donaldtusk Twierdzi Pan Panie prezesie, że powiązana z Rosją węgierska spółka #MOL nie przejmie 417 stac…",4501189937,4,0,0,0
1499350895343153154,2022-03-03T11:48:04.000Z,1499350895343153154,"Przypominam i pytam: co to kurwa jest pisowscy dranie?
#Ukraina #Rosja #Wegry #pis #Lotos
-
https://t.co/R2iU4obQaK",23335179,0,0,1,0
