id,created_at,conversation_id,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1499463725602177024,2022-03-03T19:16:25.000Z,1499463725602177024,"RT @Skijumpingpl: Marita Kramer prowadzi na półmetku konkursu #RawAir pań w #Lillehammer, Kinga Rajda na 22. miejscu #skijumpingfamily

 Pe…",231613100,9,0,0,0
1499463647705411587,2022-03-03T19:16:06.000Z,1499463647705411587,RT @amelleczka: patrzcie daniel zmienił nacje i z polskimi torbami lata #skijumpingfamily https://t.co/zsfMsYYCRL,1185452960039481344,9,0,0,0
1499463535788806145,2022-03-03T19:15:40.000Z,1499463535788806145,"Krystof Hauser w ""stylu Bartka Czyża"" 😃 #skijumpingfamily",1171502703345725442,0,0,0,0
1499463382088441860,2022-03-03T19:15:03.000Z,1499463382088441860,"🇦🇹 Marita Kramer nie zapomniała, jak się odlatuje. Liderka PŚ liderką konkursu w #Lillehammer na jego półmetku. Nas cieszy 22. miejsce 🇵🇱 Kingi Rajdy, która w przypadku utrzymania lokaty wyrówna swój najlepszy wynik z tego sezonu. #skijumpingfamily",60868371,1,0,17,0
1499463365915254784,2022-03-03T19:14:59.000Z,1499463365915254784,"PŚ Lillehammer: Kramer prowadzi na półmetku

https://t.co/Ahsf8hv1o2

#skoki #skokinarciarskie #skijumping #skijumpingfamily #ZimaJestNasza https://t.co/u2W8HpdKyo",2196665538,0,0,2,0
1499463334327992326,2022-03-03T19:14:52.000Z,1499463334327992326,Właściwie dlaczego Słowacji nie ma w skokach? #skijumpingfamily,1124246798606925825,0,0,0,0
1499463202991714304,2022-03-03T19:14:20.000Z,1499463202991714304,A na MŚJ mamy taniec z belkami. Nowe nie znałam #skijumpingfamily,1241294797043892224,0,0,3,0
1499463139741548549,2022-03-03T19:14:05.000Z,1499463139741548549,Dzisiaj oba konkursy na wysokim poziomie. #skijumpingfamily,1248990854942994432,0,0,1,0
1499460250713444359,2022-03-03T19:02:37.000Z,1499460250713444359,Zapomniałam dodać godzinę 😅 22:30 #CompleteMess https://t.co/ddwmR3l61m,1495337974556467201,0,0,4,0
1499458643284180997,2022-03-03T18:56:13.000Z,1499458643284180997,No jeblo mnie o ścianę #COMPLETEMESS #YouMakeMeComplete,1487109159665475588,0,0,0,0
1499456794258817030,2022-03-03T18:48:52.000Z,1499456794258817030,"RT @5SOS__Polska: +jak oni. Ashton także podziękował za wysłuchanie i obejrzenie #CompleteMess.
5. O nadchodzącej płycie: ""W przypadku tej…",1230928838101753856,18,0,0,0
1499456645834940430,2022-03-03T18:48:17.000Z,1499456645834940430,"RT @5SOS__Polska: 📲 Najważniejsze informacje z live'a po premierze #CompleteMess:
1. Ashton powiedział, że po powrocie zagrają więcej konce…",1230928838101753856,79,0,0,0
1499456055348277254,2022-03-03T18:45:56.000Z,1499456055348277254,"Dobra,ale piosenka Popka ""wodospady"" po kilku latach ma lepszy vibe.#COMPLETEMESS #5SecondsOfSummer #hotelparadise #5city #FCKPTN https://t.co/L89QQU0b8q",1494275610314780673,0,0,1,0
1499452846177243139,2022-03-03T18:33:11.000Z,1499452846177243139,"RT @5SOS__Polska: Hej @RadioZET_NEWS, czy na Państwa stacji radiowej moglibyśmy usłyszeć najnowszy utwór zespołu 5 Seconds Of Summer - #Com…",1449721492955176960,4,0,0,0
1499452840112238605,2022-03-03T18:33:10.000Z,1499452840112238605,"RT @5SOS__Polska: Cześć @RMF24pl, czy na Państwa stacji radiowej moglibyśmy usłyszeć najnowszy hit zespołu 5 Seconds Of Summer - #CompleteM…",1449721492955176960,10,0,0,0
